index,q_id,q_status,q_date,prop_date,on_date,wd_date,IA_status_raw,IA_status_clean,County,state,region,utility,entity,developer,cluster,service,project_type,type1,mw1,type_clean,q_year,prop_year,q_month,q_day,q_dayofweek,Biomass_x,Geothermal_x,Small Hydro_x,Solar Photovoltaic_x,Solar Thermal_x,Wind_x,Total_x,Biomass_GWh,Geothermal_GWh,Small Hydro_GWh,Solar Photovoltaic_GWh,Solar Thermal_GWh,Wind_GWh,Total_GWh,Biomass_gen,Geothermal_gen,Small Hydro_gen,Solar Photovoltaic_gen,Solar Thermal_gen,Wind_gen,Total_gen (GWh)
3510,88,withdrawn,2006-02-10,2011-07-01,,2008-02-14,,System Impact Study,Los Angeles,CA,CAISO,SCE,CAISO,,,,Generation,Gas,613.5,Gas,2006.0,2011.0,2,10,4,189,0,215,1343,0,2,1749,1655.64,0.0,1883.4,11764.68,0.0,17.52,15321.24,804,0,89,3022,0,5,3919
3512,881,withdrawn,2012-04-02,2015-10-30,,2012-07-26,,System Impact Study,Riverside,CA,CAISO,SCE,CAISO,,C05,NRIS,Generation,Solar,500.0,Solar,2012.0,2015.0,4,2,0,56,0,50,2700,250,576,3630,490.56,0.0,438.0,23652.0,2190.0,5045.76,31798.8,292,0,45,6165,615,1305,8422
3513,882,withdrawn,2012-04-02,2015-12-31,,2012-07-25,,System Impact Study,Tulare,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Solar,120.0,Solar,2012.0,2015.0,4,2,0,13,0,38,402,0,0,454,113.88,0.0,332.88,3521.52,0.0,0.0,3977.04,9,0,14,780,0,0,804
3514,883,withdrawn,2012-04-02,2018-09-01,,2012-06-22,,System Impact Study,San Joaquin,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Gas,11.0,Gas,2012.0,2018.0,4,2,0,59,0,11,34,0,4,107,516.84,0.0,96.36,297.84,0.0,35.04,937.32,410,0,11,51,0,4,477
3516,885,operational,2012-04-02,,2017-01-05,,Executed,IA Executed,Kern,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Solar,10.0,Solar,2012.0,,4,2,0,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
3517,886,withdrawn,2012-04-02,2014-08-31,,2012-07-30,,System Impact Study,San Joaquin,CA,CAISO,PGAE,CAISO,,C05,NRIS,Generation,Biofuel,15.0,Other,2012.0,2014.0,4,2,0,59,0,11,34,0,4,107,516.84,0.0,96.36,297.84,0.0,35.04,937.32,410,0,11,51,0,4,477
3519,888,withdrawn,2012-04-02,2015-10-15,,2013-03-13,,System Impact Study,San Bernardino,CA,CAISO,SCE,CAISO,,C05,NRIS,Generation,Solar,100.0,Solar,2012.0,2015.0,4,2,0,0,0,38,987,734,7,1766,0.0,0.0,332.88,8646.12,6429.84,61.32,15470.16,0,0,18,2054,1487,7,3566
3521,89,withdrawn,2006-02-13,2012-07-01,,2010-10-07,,System Impact Study,San Bernardino,CA,CAISO,SCE,CAISO,,,,Generation,Gas,570.0,Gas,2006.0,2012.0,2,13,0,0,0,38,987,734,7,1766,0.0,0.0,332.88,8646.12,6429.84,61.32,15470.16,0,0,18,2054,1487,7,3566
3522,890,withdrawn,2012-04-02,2018-08-31,,2013-03-29,,System Impact Study,Kern,CA,CAISO,SCE,CAISO,,C05,NRIS,Generation,Solar,50.0,Solar,2012.0,2018.0,4,2,0,127,0,75,4412,0,3576,8190,1112.52,0.0,657.0,38649.12,0.0,31325.76,71744.4,186,0,149,10230,0,7869,18434
3524,892,withdrawn,2012-04-02,2015-12-31,,2013-05-01,,System Impact Study,San Bernardino,CA,CAISO,SCE,CAISO,,C05,NRIS,Generation,Solar,140.0,Solar,2012.0,2015.0,4,2,0,0,0,38,987,734,7,1766,0.0,0.0,332.88,8646.12,6429.84,61.32,15470.16,0,0,18,2054,1487,7,3566
